,co2_emissions,ghg_emissions,ghg_2010 emissions,co2_2011_emissions,change_1971_2011,change_1990_2011,total_footprint,pop_2010,gdp_ppp_2010,hdi_2011,hdi_change_1990_2011,gender_inequality_2012,maternal_2010
Afghanistan,72.4,349.34,24.94,,,,,"28,397,812",33596,0.371,50.81,0.712,460
Albania,227.9,143.81,6.57,  3.9,-0.3,-38.0,5.4,"3,150,143",24545,0.748,13.16,0.251,27
Algeria,"2,272.40",2618.81,169.42,  103.9,1064.8,97.0,,"37,062,820",269075,0.711,26.51,0.391,97
Angola,305.3,3300.97,219.84,  15.7,845.5,292.0,,"19,549,124",98686,0.504,,,450
Antigua & Barbuda,16.6,14.17,1.20,,,,,"87,233",1541,0.759,,,
Argentina,"5,894.80",6308.23,359.01,  183.6,121.8,83.8,165.5,"40,374,224",580427,0.81,15.55,0.38,77
Armenia,505.6,183.45,13.43,  4.7,,-77.2,6.0,"2,963,496",15153,0.726,15.61,0.34,30
Australia,"13,108.50",10252.55,587.53,  396.8,175.3,52.6,297.0,"22,065,300",763921,0.936,6.36,0.115,7
Austria,"4,541.90",1712.92,84.28,  68.5,40.6,21.4,99.8,"8,389,771",296268,0.894,12.17,0.102,4
Azerbaijan,"2,323.70",1218.83,64.21,  26.8,,-51.3,30.3,"9,054,332",80696,0.732,,0.323,43
Bahamas,139.6,47.59,3.88,,,,,"360,498",9795,0.792,,0.316,47
Bahrain,479.1,401.18,34.88,  22.7,652.9,93.8,,"1,251,513",26892,0.795,11.50,0.258,20
Bangladesh,657.4,1905.20,130.25,  54.1,1597.9,298.9,57.8,"151,125,475",221297,0.511,41.55,0.518,240
Barbados,37.5,65.69,3.46,,,,,"280,396",,0.824,8.42,0.343,51
Belarus,"4,382.10",2150.15,96.87,  66.0,,-46.9,61.5,"9,490,000",118671,0.789,,,4
Belgium,"10,903.30",2952.19,157.58,  108.6,-7.1,0.6,234.5,"10,895,586",358211,0.897,9.79,0.098,8
Belize,12.4,149.08,8.99,,,,,"308,595",2061,0.701,7.35,0.435,53
Benin,39.3,258.97,17.22,  4.7,1451.6,1743.7,,"9,509,798",12565,0.434,38.22,0.618,350
Bhutan,7.2,30.89,1.27,,,,,"716,939",3607,0.532,,0.464,180
Bolivia,275.6,1045.77,59.83,  15.2,601.2,195.9,9.9,"10,156,601",43129,0.671,20.47,0.474,190
Bosnia & Herzegovina,679.6,426.76,28.63,  22.8,,-3.6,,"3,845,929",28037,0.734,,,8
