countries,co2_cummulative,ghg_cummulative,ghg_2010,co2_2011,change_1971_2011,change_1990_2011,total_footprint,pop_2010,gdp_ppp_2010,hdi_2011,hdi_change_1990_2011,gender_inequality_2012,maternal_2010
Afghanistan,72.4,349.34,24.94,,,,,28397812.0,33596.0,0.371,50.81,0.7120000000000001,460.0
Albania,227.9,143.81,6.57,3.9,-0.3,-38.0,5.4,3150143.0,24545.0,0.748,13.16,0.251,27.0
Algeria,2272.4,2618.81,169.42,103.9,1064.8,97.0,,37062820.0,269075.0,0.711,26.51,0.391,97.0
Angola,305.3,3300.97,219.84,15.7,845.5,292.0,,19549124.0,98686.0,0.504,,,450.0
Antigua & Barbuda,16.6,14.17,1.2,,,,,87233.0,1541.0,0.759,,,
Argentina,5894.8,6308.23,359.01,183.6,121.8,83.8,165.5,40374224.0,580427.0,0.81,15.55,0.38,77.0
Armenia,505.6,183.45,13.43,4.7,,-77.2,6.0,2963496.0,15153.0,0.726,15.61,0.34,30.0
Australia,13108.5,10252.55,587.53,396.8,175.3,52.6,297.0,22065300.0,763921.0,0.936,6.36,0.115,7.0
Austria,4541.9,1712.92,84.28,68.5,40.6,21.4,99.8,8389771.0,296268.0,0.894,12.17,0.102,4.0
Azerbaijan,2323.7,1218.83,64.21,26.8,,-51.3,30.3,9054332.0,80696.0,0.732,,0.32299999999999995,43.0
Bahamas,139.6,47.59,3.88,,,,,360498.0,9795.0,0.792,,0.316,47.0
Bahrain,479.1,401.18,34.88,22.7,652.9,93.8,,1251513.0,26892.0,0.795,11.5,0.258,20.0
Bangladesh,657.4,1905.2,130.25,54.1,1597.9,298.9,57.8,151125475.0,221297.0,0.511,41.55,0.518,240.0
Barbados,37.5,65.69,3.46,,,,,280396.0,,0.8240000000000001,8.42,0.343,51.0
Belarus,4382.1,2150.15,96.87,66.0,,-46.9,61.5,9490000.0,118671.0,0.789,,,4.0
Belgium,10903.3,2952.19,157.58,108.6,-7.1,0.6,234.5,10895586.0,358211.0,0.897,9.79,0.098,8.0
Belize,12.4,149.08,8.99,,,,,308595.0,2061.0,0.701,7.35,0.435,53.0
Benin,39.3,258.97,17.22,4.7,1451.6,1743.7,,9509798.0,12565.0,0.434,38.22,0.618,350.0
Bhutan,7.2,30.89,1.27,,,,,716939.0,3607.0,0.532,,0.464,180.0
Bolivia,275.6,1045.77,59.83,15.2,601.2,195.9,9.9,10156601.0,43129.0,0.6709999999999999,20.47,0.474,190.0
Bosnia & Herzegovina,679.6,426.76,28.63,22.8,,-3.6,,3845929.0,28037.0,0.7340000000000001,,,8.0
Botswana,87.4,244.44,11.74,4.7,,60.0,7.7,1969341.0,25627.0,0.634,8.19,0.485,160.0
Brazil,9836.6,19082.92,1162.62,408.0,352.1,112.1,404.6,195210154.0,1967579.0,0.728,23.39,0.447,56.0
Brunei,176.2,378.79,21.35,8.9,2133.0,174.2,,400569.0,18153.0,0.8540000000000001,9.21,,24.0
Bulgaria,3170.6,1489.37,61.89,49.2,-21.7,-34.3,52.2,7534289.0,86682.0,0.78,10.8,0.219,11.0
Burkina Faso,25.9,305.51,20.38,,,,,15540284.0,18718.0,0.34,,0.609,300.0
Burundi,8.5,305.31,37.05,,,,,9232753.0,4389.0,0.35200000000000004,29.41,0.476,800.0
Cambodia,50.7,397.23,26.01,4.0,,,9.1,14364931.0,27826.0,0.5379999999999999,,0.473,250.0
Cameroon,180.4,1882.13,90.07,5.1,603.3,91.1,,20624343.0,40186.0,0.4920000000000001,14.15,0.628,690.0
Canada,25716.0,13999.98,726.63,529.8,56.0,23.7,600.5,34126547.0,1202022.0,0.91,5.2,0.119,12.0
Cape Verde,5.5,8.61,0.75,,,,,487601.0,1723.0,0.584,,,79.0
Central African Republic,9.1,2007.67,89.58,,,,,4349921.0,3114.0,0.348,11.54,0.654,890.0
Chad,8.4,624.08,37.88,,,,,11720781.0,15011.0,0.336,,,1100.0
Chile,1831.9,1550.2,103.51,76.3,266.1,145.8,64.9,17150760.0,247573.0,0.8170000000000001,16.38,0.36,25.0
China,105915.4,118226.44,10385.54,7954.5,875.4,254.3,5720.4,1337705000.0,9122237.0,0.695,40.4,0.213,37.0
Colombia,2213.2,3249.13,173.96,66.7,150.0,44.3,73.2,46444798.0,392439.0,0.7170000000000001,19.5,0.459,92.0
Comoros,2.6,4.89,0.27,,,,,683081.0,723.0,0.428,,,280.0
Congo,75.2,4035.76,15.06,2.1,256.9,232.7,,4111715.0,15412.0,0.531,4.12,0.61,560.0
"Congo, Dem. Republic",161.4,245.79,171.26,3.3,29.5,10.4,,62191161.0,20876.0,0.299,0.67,0.6809999999999999,540.0
Cook Islands,1.1,1.98,0.12,,,,,11488.0,,,,,
Costa Rica,146.3,247.05,15.07,6.7,430.1,156.9,12.1,4669685.0,48831.0,0.77,16.14,0.34600000000000003,40.0
Cote d'Ivoire,169.9,1137.15,57.03,5.9,147.6,123.8,,18976588.0,33425.0,0.426,18.33,0.632,400.0
Croatia,856.3,564.77,26.73,18.8,,-12.7,30.8,4417800.0,70320.0,0.804,12.29,0.179,17.0
Cuba,1256.0,1010.01,53.62,28.0,37.0,-17.2,,11281768.0,,0.777,14.1,0.35600000000000004,73.0
Cyprus,192.4,160.98,9.85,6.9,290.0,79.6,10.7,1103685.0,20900.0,0.8490000000000001,8.99,0.134,10.0
Czech Republic,10394.6,3194.89,116.57,112.7,-25.4,-27.4,101.8,10519792.0,248530.0,0.872,,0.122,5.0
Denmark,3569.1,1472.62,57.94,41.7,-24.3,-17.7,59.6,5547683.0,179626.0,0.901,10.42,0.057,12.0
Djibouti,14.5,21.67,1.79,,,,,834036.0,,0.442,,,200.0
Dominica,2.5,3.93,0.22,,,,,71167.0,785.0,0.7440000000000001,,,
Dominican Republic,427.4,537.04,30.39,18.0,422.7,144.0,,10016797.0,83260.0,0.7,19.86,0.508,150.0
Ecuador,652.0,867.91,53.28,30.9,773.2,140.9,36.8,15001072.0,115384.0,0.722,13.7,0.442,110.0
Egypt,3546.9,3995.21,287.41,188.4,828.2,140.3,184.8,78075705.0,449647.0,0.6609999999999999,31.67,0.59,66.0
El Salvador,149.3,226.34,12.25,6.0,323.9,170.0,,6218195.0,37019.0,0.679,28.6,0.441,81.0
Equatorial Guinea,45.8,212.91,20.49,,,,,696167.0,17835.0,0.551,,,240.0
Eritrea,10.7,112.35,5.7,0.5,,,,5741159.0,2573.0,0.34600000000000003,,,240.0
Estonia,1177.0,495.72,22.26,19.3,,-46.5,21.2,1340161.0,22435.0,0.8440000000000001,15.93,0.158,2.0
Ethiopia,108.7,1883.67,122.69,5.9,342.3,165.1,11.3,87095281.0,77328.0,0.392,,,350.0
Fiji,36.9,37.65,2.23,,,,,860559.0,3576.0,0.7,14.01,,26.0
Finland,2514.4,1596.54,69.43,55.6,39.8,2.2,80.4,5363352.0,167926.0,0.892,11.36,0.075,5.0
France,32666.6,11218.03,545.19,328.3,-24.0,-6.9,535.7,65031235.0,1919831.0,0.893,13.9,0.083,8.0
Gabon,145.7,143.19,6.56,2.2,362.8,141.4,,1556222.0,19936.0,0.679,11.31,0.4920000000000001,230.0
Gambia,7.7,120.6,7.41,,,,,1680640.0,2964.0,0.44,36.22,0.594,360.0
Georgia,773.9,363.66,13.99,6.3,,-81.2,9.2,4452800.0,20242.0,0.74,,0.438,67.0
Germany,81194.5,21663.59,926.67,747.6,-23.6,-21.3,993.7,81776930.0,2744847.0,0.919,14.45,0.075,7.0
Ghana,181.9,453.64,26.13,10.8,460.6,299.4,,24262901.0,36062.0,0.5529999999999999,29.51,0.565,350.0
